maker,model,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Honda,Honda Civic,336180,325981,335384,366927,377286,325760.0,325650.0,261225.0,263787.0,133932
Honda,Honda CR0Z,4550,3562,3073,2338,705,38.0,2.0,1.0,0.0,0
Honda,Honda Insight,4802,3965,1458,67,3,12510.0,23686.0,15932.0,19431.0,7628
Honda,Honda Accord,366678,388374,355557,345225,322655,291071.0,267567.0,199458.0,202676.0,154612
Honda,Honda Clarity,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Honda,Honda Clarity Electric,0,0,0,0,1121,948.0,576.0,45.0,1.0,0
Honda,Honda Clarity Fuel Cell,0,0,0,8,432,624.0,320.0,230.0,282.0,205
Honda,Honda Clarity Plug In,0,0,0,0,903,18602.0,10758.0,3940.0,2314.0,3
Honda,Honda FCX Clarity,10,2,2,0,0,0.0,0.0,0.0,0.0,0
Honda,Honda S2000,2,0,0,0,0,0.0,0.0,0.0,0.0,0
Honda,Honda Odyssey,128987,122738,127736,120846,100307,106327.0,99113.0,83409.0,76125.0,47615
Honda,Honda Ridgeline,17723,13389,520,23667,34749,30592.0,33334.0,32168.0,41355.0,42762
Honda,Honda HR0V,0,0,41969,82041,94034,85494.0,99104.0,84027.0,137090.0,115416
Honda,Honda Crosstour,16847,11802,9104,726,5,0.0,0.0,0.0,0.0,0
Honda,Honda CR0V,303904,335019,345647,357335,377895,379013.0,384168.0,333502.0,361271.0,238155
Honda,Honda Honda Pilot,126678,108857,136212,120772,127279,159615.0,135008.0,123813.0,143062.0,99567
Honda,Honda Passport,0,0,0,0,0,0.0,36085.0,39567.0,53133.0,41306
Hyundai,Hyundai Accent (Verna),60458,63309,61486,79766,58955,29090.0,25628.0,15975.0,19614.0,17823
Hyundai,Hyundai Avante (Elantra),247912,222023,241706,208319,198210,200415.0,175094.0,105475.0,124422.0,117177
Hyundai,Hyundai Ioniq,0,0,0,0,11197,15076.0,19574.0,13570.0,19885.0,3672
